,year,tri_facility_id,facility_name,street_address,city,county,st,zip,bia_code,tribe,latitude,longitude,federal_facility,primary_sic,sic_2,sic_3,sic_4,sic_5,sic_6,primary_naics,naics_2,naics_3,naics_4,naics_5,naics_6,doc_ctrl_num,chemical,cas_compound_id,clean_air_act_chemical,classification,metal,metal_category,carcinogen,form_type,unit_of_measure,n_5_1_fugitive_air,n_5_2_stack_air,n_5_3_water,n_5_4_1_underground_class_i,n_5_4_2_underground_class_ii_v,n_5_5_1a_rcra_c_landfills,n_5_5_1b_other_landfills,n_5_5_2_land_treatment,n_5_5_3_surface_impoundment,n_5_5_3a_rcra_c_surface_impoundment,n_5_5_3b_other_surface_impoundment,n_5_5_4_other_disposal,on_site_release_total,n_6_1_potw_metals_and_metal_compounds,n_6_1_potw_non_metals,n_6_1_potw_total_transfers,n_6_2_m10,n_6_2_m41,n_6_2_m62,n_6_2_m71,n_6_2_m81,n_6_2_m82,n_6_2_m72,n_6_2_m63,n_6_2_m66,n_6_2_m67,n_6_2_m64,n_6_2_m65,n_6_2_m73,n_6_2_m79,n_6_2_m90,n_6_2_m94,n_6_2_m99,off_site_release_total,n_6_2_m20,n_6_2_m24,n_6_2_m26,n_6_2_m28,n_6_2_m93,off_site_recycled_total,n_6_2_m56,n_6_2_m92,off_site_recovery_total,n_6_2_m40,n_6_2_m50,n_6_2_m54,n_6_2_m61,n_6_2_m69,n_6_2_m95,off_site_treated_total,total_releases,n_8_1_releases,n_8_1a_on_site_contained_releases,n_8_1b_on_site_other_releases,n_8_1c_off_site_contained_releases,n_8_1d_off_site_other_releases,n_8_2_energy_recovery_on_site,n_8_3_energy_recovery_off_site,n_8_4_recycling_on_site,n_8_5_recycling_off_site,n_8_6_treatment_on_site,n_8_7_treatment_off_site,production_waste_8_1_thru_8_7,n_8_8_one_time_release,n_8_9_production_ratio,parent_company_name,parent_company_db_number,serialid,geoid
0,2013,1413WMTLLC24CRY,METAULLICS SYSTEMS A DIV OF PYROTEK-INC,2040 CORY RD,SANBORN,NIAGARA,NY,14132,,,43.13083,-78.94039,NO,,,,,,,335991,,,,,,1313211158427,POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,0.0,20.15,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,20.15,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.15,0,0.0,20.15,0.0,0.0,0,0.0,114.04,0.0,1994.69,0.0,2128.88,,1.0,PYROTEK INC,,1,360630227112005
1,2013,11222MCLC0125AP,BP PRODUCTS NA INC BROOKLYN TERMINAL,125 APOLLO ST,BROOKLYN,KINGS,NY,11222,,,40.728109,-73.938198,NO,,,,,,,424710,,,,,,1313211560899,ETHYLBENZENE,000100414,YES,TRI,NO,0,NO,R,Pounds,76.0,76.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,289.0,0,0.0,289.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0,0.0,153.0,7.0,0.0,0,3.0,0.0,288.0,0.0,0.0,451.0,1.0,1.05,BP PRODUCTS N.A. INC,39596507.0,2,360470589001002
2,2013,12328GNRLL381UP,GENERAL ELECTRIC CO CPQP,381 BROADWAY,FORT EDWARD,WASHINGTON,NY,12828,,,43.285655,-73.589193,NO,,,,,,,335999,,,,,,1313211491853,LEAD,007439921,YES,TRI,YES,1,YES,R,Pounds,0.33,3.3,0.35,0,0,0.0,0.0,0,0,0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,2.2,0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0,3472.0,3472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18,0,0.0,3.98,2.2,0.0,0,0.0,0.0,3472.0,0.0,0.0,3478.18,,1.02,GENERAL ELECTRIC CO (GE CO),1367960.0,3,361150880001012
3,2013,14701MRCBR402CH,SKF AEROENGINE JAMESTOWN,402 CHANDLER ST,JAMESTOWN,CHAUTAUQUA,NY,147013802,,,42.09882,-79.22745,NO,,,,,,,332991,,,,,,1313211358991,CHROMIUM,007440473,YES,TRI,YES,1,YES,R,Pounds,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,37.0,0.0,0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,0.0,0.0,37.0,0.0,0,0.0,0.0,0.0,0.0,0.0,37.0,,0.92,SKF USA INC,2297661.0,4,360130306001001
4,2013,11222MCLC0125AP,BP PRODUCTS NA INC BROOKLYN TERMINAL,125 APOLLO ST,BROOKLYN,KINGS,NY,11222,,,40.728109,-73.938198,NO,,,,,,,424710,,,,,,1313211560863,"1,2,4-TRIMETHYLBENZENE",000095636,NO,TRI,NO,0,NO,R,Pounds,43.0,23.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,11.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,433.0,0,0.0,433.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0,0.0,66.0,11.0,0.0,0,4.0,0.0,432.0,0.0,0.0,513.0,1.0,1.05,BP PRODUCTS N.A. INC,39596507.0,5,360470589001002
5,2013,12328GNRLL381UP,GENERAL ELECTRIC CO CPQP,381 BROADWAY,FORT EDWARD,WASHINGTON,NY,12828,,,43.285655,-73.589193,NO,,,,,,,335999,,,,,,1313211491802,CHROMIUM,007440473,YES,TRI,YES,1,YES,R,Pounds,0.1,0.4,0.56,0,0,0.0,0.0,0,0,0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,1.8,0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0,13903.0,13903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0,0.0,1.06,1.8,0.0,0,0.0,0.0,13903.0,0.0,0.0,13905.86,,1.02,GENERAL ELECTRIC CO (GE CO),1367960.0,6,361150880001012
6,2013,1413WMTLLC24CRY,METAULLICS SYSTEMS A DIV OF PYROTEK-INC,2040 CORY RD,SANBORN,NIAGARA,NY,14132,,,43.13083,-78.94039,NO,,,,,,,335991,,,,,,1313211158353,"BENZO(G,H,I)PERYLENE",000191242,YES,PBT,NO,0,YES,R,Pounds,0.0,0.63,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0,0.0,0.63,0.0,0.0,0,0.0,1.79,0.0,62.58,0.0,65.0,,1.0,PYROTEK INC,,7,360630227112005
7,2013,14105FMCCR100NI,FMC CORP  MIDDLEPORT PLANT,100 NIAGARA ST,MIDDLEPORT,NIAGARA,NY,14105,,,43.207167,-78.468875,NO,,,,,,,325320,,,,,,1313211653593,NAPHTHALENE,000091203,YES,TRI,NO,0,NO,R,Pounds,5.0,250.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,255.0,0.0,5.0,5.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0,0.0,255.0,0.0,0.4,0,0.0,0.0,0.0,0.0,4.6,260.0,,1.18,FMC CORP,9146945.0,8,360630240021032
8,2013,13088STRTHBURRD,STRATHMORE PRODUCTS INC,BURR DR,CLAY,ONONDAGA,NY,13041,,,43.118623,-76.195092,NO,,,,,,,325510,,,,,,1313211024789,TOLUENE,000108883,YES,TRI,NO,0,NO,R,Pounds,669.0,7.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4637.0,0.0,4637.0,0.0,186.0,0.0,0.0,0.0,0.0,186.0,676.0,0,0.0,676.0,0.0,0.0,0,4637.0,0.0,0.0,0.0,186.0,5499.0,,0.96,,,9,360670111023007
9,2013,1451WVTTTC6377D,VETTE TECHNOLOGY LLC,6377 DEAN PKWY,ONTARIO,WAYNE,NY,14519,,,43.23204,-77.36418,NO,,,,,,,332999,,,,,,1313211401157,COPPER,007440508,NO,TRI,YES,1,NO,R,Pounds,5.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0,32610.0,32610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0.0,5.0,0.0,10.0,0,0.0,0.0,32610.0,0.0,0.0,32625.0,,0.1,HEICO HOLDING CO,5146592.0,10,361170201011065
